event_id,trading_day,time,symbol,category,event,context,origin,stage,rule,passed,actual,required,previous_state,state_changed,setup_score,rr,option_quality,candle_time,candle_open,candle_high,candle_low,candle_close,candle_volume,scanner_recommendation,execution_eligibility,execution_outcome,execution_reason,trade_status,telegram_status,telegram_reason,scan_id,candidate_key,trade_id
5aeda6f1f2dc6df21bb3801b,2026-08-01,2026-08-01 00:09:26-04:00,QQQ,Scanner,STALE STOCK DATA,Stock aggregate data is not real-time,Scanner decision,Decision,LOW_RR,False,STALE_STOCK_DATA,ENTER or ENTER_PAPER,,False,59.0,0.53,,2026-07-31T23:55:00+00:00,685.0,685.01,684.34,684.47,7736.3,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,2026-08-01_000919,,
8c7961ce3b574916b0c4fb56,2026-08-01,2026-08-01 00:09:26-04:00,QQQ,Scanner,RULE FAILED,59.0 / required 83.0,Rule evaluation,Entry,Setup,False,59.0,83.0,,,,,,,,,,,,,,,,,,,2026-08-01_000919,,
3d57bbfad1fa2d0bf1eb0ade,2026-08-01,2026-08-01 00:09:26-04:00,QQQ,Scanner,RULE FAILED,0.53 / required 2.0,Rule evaluation,Risk,RR,False,0.53,2.0,,,,,,,,,,,,,,,,,,,2026-08-01_000919,,
cee376dac1d0c85c7d888379,2026-08-01,2026-08-01 00:09:26-04:00,QQQ,Scanner,RULE FAILED,0.0 / required 65.0,Rule evaluation,Option,Option Quality,False,0.0,65.0,,,,,,,,,,,,,,,,,,,2026-08-01_000919,,
93948b1ab1435437d49c9f72,2026-08-01,2026-08-01 00:09:26-04:00,QQQ,Scanner,RULE FAILED,None / required LIVE_QUOTE,Rule evaluation,Realtime,Quote Freshness,False,,LIVE_QUOTE,,,,,,,,,,,,,,,,,,,2026-08-01_000919,,
38eac0f1c455c7c88ce0fd90,2026-08-01,2026-08-01 00:09:26-04:00,QQQ,Scanner,RULE PASSED,True / required True,Rule evaluation,Affordability,Affordability,True,True,True,,,,,,,,,,,,,,,,,,,2026-08-01_000919,,
ab54fecacce1e30eab7930f6,2026-08-01,2026-08-01 00:09:26-04:00,QQQ,Scanner,RULE FAILED,NOT_LIFECYCLE_EVENT / required ELIGIBLE,Rule evaluation,Telegram,Telegram,False,NOT_LIFECYCLE_EVENT,ELIGIBLE,,,,,,,,,,,,,,,,,,,2026-08-01_000919,,
37b1f73b221ce7f9c300c7c4,2026-08-01,2026-08-01 00:09:26-04:00,SPY,Scanner,STALE STOCK DATA,Stock aggregate data is not real-time,Scanner decision,Decision,LOW_RR,False,STALE_STOCK_DATA,ENTER or ENTER_PAPER,,False,59.0,0.34,,2026-07-31T23:55:00+00:00,744.48,744.6,744.2,744.2,10114.04,NO_RECOMMENDATION,NOT_REQUESTED,NOT_REQUESTED,,NOT_CREATED,NO_LIFECYCLE_EVENT,NO_LIFECYCLE_EVENT,2026-08-01_000919,,
daff7ec2c5d9b57ef7a6032f,2026-08-01,2026-08-01 00:09:26-04:00,SPY,Scanner,RULE FAILED,59.0 / required 83.0,Rule evaluation,Entry,Setup,False,59.0,83.0,,,,,,,,,,,,,,,,,,,2026-08-01_000919,,
c2f42de437155cf985681a2e,2026-08-01,2026-08-01 00:09:26-04:00,SPY,Scanner,RULE FAILED,0.34 / required 2.0,Rule evaluation,Risk,RR,False,0.34,2.0,,,,,,,,,,,,,,,,,,,2026-08-01_000919,,
