observed_at_utc,trading_day,scan_id,category,stage,page,seconds,metadata
2026-07-23T16:05:33.941721+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-23T16:08:18.234915+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-23T16:10:19.870617+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-23T22:28:21.786555+00:00,,,telegram,send_telegram_alert,,0.9956,{}
2026-07-23T22:28:44.374642+00:00,,,telegram,send_telegram_alert,,0.0001,{}
2026-07-24T02:44:50.116679+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T03:27:42.945535+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:25:39.122291+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:26:07.940840+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:26:26.666229+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:27:08.891540+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:27:35.535788+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:28:02.597798+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:28:38.370416+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:32:05.471766+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:32:30.961828+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:33:20.218654+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:34:04.015649+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:35:00.086478+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:37:35.366991+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:42:19.706626+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:42:43.354917+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:43:19.272225+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:44:03.282062+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:44:24.908102+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T22:50:19.883323+00:00,,,telegram,send_telegram_alert,,0.9202,{}
2026-07-24T22:51:57.795377+00:00,,,telegram,send_telegram_alert,,0.8857,{}
2026-07-24T22:51:58.776175+00:00,,,telegram,send_telegram_alert,,0.9411,{}
2026-07-24T22:51:59.676341+00:00,,,telegram,send_telegram_alert,,0.8756,{}
2026-07-24T23:05:20.484668+00:00,,,telegram,send_telegram_alert,,0.0,{}
2026-07-24T23:05:39.527627+00:00,,,telegram,send_telegram_alert,,0.0,{}
